Cartoonist_from_-title,Title_from_-title,Date_from_-title,_ - source_url,Publisher,_ - description,Authorities_only_entries
,,,,,,"""authority_id"":284551,""name"":""broad_related_authority"",""role"":null,""text"":""Mammals"""
,,,,,,"""authority_id"":582868,""name"":""broad_related_authority"",""role"":null,""text"":""Learning and scholarship"""
,,,,,,"""authority_id"":1117164,""name"":""broad_related_authority"",""role"":null,""text"":""Eschatology"""
,,,,,,"""authority_id"":284550,""name"":""broad_related_authority"",""role"":null,""text"":""Vertebrates"""
,,,,,,"""authority_id"":188163,""name"":""broad_related_authority"",""role"":null,""text"":""Intellectual life"""
,,,,,,"""authority_id"":321134,""name"":""broad_related_authority"",""role"":null,""text"":""Theology, Doctrinal"""
,,,,,,"""authority_id"":1195939,""name"":""broad_related_authority"",""role"":null,""text"":""Chordata"""
,,,,,,"""authority_id"":690101,""name"":""broad_related_authority"",""role"":null,""text"":""Culture"""
,,,,,,"""authority_id"":62650,""name"":""broad_related_authority"",""role"":null,""text"":""Theology"""
,,,,,,"""authority_id"":68662,""name"":""broad_related_authority"",""role"":null,""text"":""Animals"""
,,,,,,"""authority_id"":149047,""name"":""broad_related_authority"",""role"":null,""text"":""Christianity"""
,,,,,,"""authority_id"":1214314,""name"":""broad_related_authority"",""role"":null,""text"":""Organisms"""
,,,,,,"""authority_id"":128834,""name"":""broad_related_authority"",""role"":null,""text"":""Religions"""
,,,,,,"""authority_id"":664137,""name"":""broad_related_authority"",""role"":null,""text"":""Life (Biology)"""
,,,,,,"""authority_id"":400116,""name"":""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Winter,  Mark",Je Suis Charlie. ,9 January 2015,http://api.digitalnz.org/records/35314443/source,,"Accompanying note from cartoonist states 'Islamic terrorists kill 12 people, including four of France's leading cartoonists, at the office of satiricial magazine Charlie Hebdo'.
Quantity: 7 digital cartoon(s).
Physical Description: Image file - Jpeg","""name_authority"",""role"":""(Subject)"",""text"":""Charlie hebdo (Serial)"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Charbonnier, Stephane, 1967-2015"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Cabut, Jean, 1938-2015"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Verlhac, Bernard, 1957-2015"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Wolinski, Georges, 1934-2015"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Religious militants"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Terrorism - France"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Cartoonists - France"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Freedom of speech"""
,,,,,,"""place_authority"",""role"":null,""text"":""Paris"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Religious adherents"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Persons"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Civil rights"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Freedom of expression"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Human rights"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Constitutional law"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Public law"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Law"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""France"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Hubbard,  James",Mmm... looking forward to this test - it's been in the cellar waiting to mature for some time now...,3 January 2015,http://api.digitalnz.org/records/35314455/source,Setford News Photo Agency,"Shows a New Zealand cricket fan about to enjoy a drink from a vintage wine 'Black Caps'.
Quantity: 1 digital cartoon(s).
Physical Description: Image file - Jpeg","""name_authority"",""role"":""(as the publisher)"",""text"":""Setford News Photo Agency"""
,,,,,,"""name_authority"",""role"":""(Subject)"",""text"":""Black Caps (Cricket team)"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Cricket - New Zealand"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Wine and wine making"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Cricket fans"""
,,,,,,"""place_authority"",""role"":null,""text"":""New Zealand"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Hubbard, James, 1949- :[Digital caricatures and cartoons published from 1999-2005, and from 2008 onward]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Hubbard, James, 1949- :[Digital caricatures and cartoons published from 1999-2005, and from 2008 onward]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Alcoholic beverages"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Grape products"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Alcohol"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Beverages"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Food"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Dinners and dining"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Home economics"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Table"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Etiquette"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Caterers and catering"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Entertaining"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Conduct of life"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Cooking"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Food service"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Ethics"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Hospitality industry"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Philosophy"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Service industries"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Humanities"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Industries"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Learning and scholarship"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Intellectual life"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Civilization"""
,,,,,,"""authority_id"":690101,""name"":""broad_related_authority"",""role"":null,""text"":""Culture"""
,,,,,,"""authority_id"":436630,""name"":""broad_related_authority"",""role"":null,""text"":""Plant products"""
,,,,,,"""authority_id"":328441,""name"":""broad_related_authority"",""role"":null,""text"":""Sports spectators"""
,,,,,,"""authority_id"":474496,""name"":""broad_related_authority"",""role"":null,""text"":""Fans (Persons)"""
,,,,,,"""authority_id"":268256,""name"":""broad_related_authority"",""role"":null,""text"":""Audiences"""
,,,,,,"""authority_id"":252584,""name"":""broad_related_authority"",""role"":null,""text"":""Persons"""
,,,,,,"""authority_id"":1200252,""name"":""broad_related_authority"",""role"":null,""text"":""Communication - Social aspects"""
,,,,,,"""authority_id"":1237535,""name"":""broad_related_authority"",""role"":null,""text"":""Communication and culture"""
,,,,,,"""authority_id"":400116,""name"":""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Winter,  Mark",School Injuries. ,8 January 2015,http://api.digitalnz.org/records/35314441/source,,"Accompanying note from cartoonist states 'Some 66,915 pupils and 5,721 staff were injuried at New Zealand schools last year with treatment costing the country $4.8 million'.
Quantity: 1 digital cartoon(s).
Physical Description: Image file - Jpeg","""name_authority"",""role"":""(as a related subject)"",""text"":""Accident Compensation Corporation (N.Z.)"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Accidents"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Wounds and injuries"""
,,,,,,"""subject_authority"",""role"":null,""text"":""Children's accidents"""
,,,,,,"""place_authority"",""role"":null,""text"":""New Zealand"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Digital images"""
,,,,,,"""recordtype_authority"",""role"":null,""text"":""Cartoons (Commentary)"""
,,,,,,"""collection_parent"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""collection_root"",""role"":null,""text"":""Winter, Mark 1958-:[Digital cartoons published from October 2007 in the Southland Times]"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""First aid in illness and injury"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Events"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Violent deaths"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Rescue work"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Assistance in emergencies"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Civil defence"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Emergencies"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Public safety"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Human services"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Violence"""
,,,,,,"""broad_related_authority"",""role"":null,""text"":""Death - Causes"""
